Benchmark,Sample Type,Price Threshold,N,Time Coef (logits/yr),Std Error,p-value,95% CI Lower,95% CI Upper,R²,Adj R²,Mean Score (%),Score Range
AIME,All,≤ $0.01,16,1.6385356560233093,0.7049502469387581,0.03566434629512227,0.12656775074531046,3.150503561301308,0.2784435381162653,0.2269037908388557,4.3,0.6-19.7%
AIME,Pareto,≤ $0.01,11,1.379339896348424,0.891738026795552,0.15631532947277416,-0.6379116683565142,3.3965914610533625,0.21001272445650931,0.12223636050723252,4.818181818181817,0.6-19.7%
AIME,Frontier,≤ $0.01,4,3.5526785731414665,0.31392800652099445,0.007717875772782046,2.2019553789558417,4.903401767327091,0.98462381406088,0.9769357210913199,9.725,0.8-19.7%
AIME,All,≤ $0.05,41,1.034073816420387,0.4062520288245128,0.014982191207991269,0.2123515264705328,1.8557961063702413,0.1424624859074688,0.12047434452048089,6.2073170731707314,0.6-31.1%
AIME,Pareto,≤ $0.05,23,1.3126794663062842,0.6394537898879622,0.05275957885861082,-0.017137488208295526,2.642496420820864,0.16713082161964354,0.12747038455391224,7.930434782608699,0.6-31.1%
AIME,Frontier,≤ $0.05,7,2.8413574411922604,0.4521057230297562,0.001498774975985162,1.6791826817847466,4.003532200599774,0.8876346248431125,0.865161549811735,11.685714285714287,1.8-31.1%
AIME,All,≤ $0.10,46,1.3045158851930416,0.43611112285460846,0.004539471417046803,0.4255916693376032,2.18344010104848,0.1689890249561029,0.1501024118869233,8.2,0.6-70.8%
AIME,Pareto,≤ $0.10,25,1.7026521692161138,0.6805531178782432,0.01991202261943803,0.2948207826228795,3.110483555809348,0.21392593849531139,0.17974880538641191,10.516000000000002,0.6-70.8%
AIME,Frontier,≤ $0.10,9,3.505922493856272,0.575870849280191,0.0004969097795466393,2.144204317862999,4.8676406698495445,0.8411408195745456,0.8184466509423378,18.033333333333335,1.8-70.8%
AIME,All,≤ $0.50,73,1.9084917803689425,0.3480371614702423,6.03346069549815e-07,1.214525390491536,2.602458170246349,0.2975146109620129,0.2876204505530272,13.701369863013696,0.6-74.2%
AIME,Pareto,≤ $0.50,34,2.2048302475419668,0.6203019614544946,0.001201569998171781,0.9413164992416043,3.4683439958423294,0.28305922359907265,0.26065482433654363,15.767647058823528,0.6-74.2%
AIME,Frontier,≤ $0.50,9,3.7604760555508028,0.28030656931695175,2.998705800116852e-06,3.097656343863165,4.423295767238441,0.9625624140979943,0.9572141875405649,27.622222222222224,2.5-74.2%
AIME,All,≤ $1.00,85,2.387168648138852,0.33617661827551615,3.88127308070807e-10,1.7185268753535519,3.0558104209241517,0.37791971112723344,0.37042476788780254,19.098823529411767,0.6-81.1%
AIME,Pareto,≤ $1.00,36,2.358818756518774,0.588762197179154,0.000317931365061197,1.1623100140076026,3.5553274990299455,0.3206965126706044,0.30071699833738685,17.38055555555555,0.6-81.1%
AIME,Frontier,≤ $1.00,8,3.4934876618498762,0.2917102501856988,2.0545313026198997e-05,2.779698393570026,4.207276930129726,0.9598452059839079,0.9531527403145592,40.8375,2.5-81.1%
AIME,All,≤ $2.00,94,2.258744202543689,0.3381161814439786,1.7875758651086926e-09,1.5872162810380375,2.9302721240493406,0.32663610571093926,0.31931693294692776,21.607553191489362,0.6-86.7%
AIME,Pareto,≤ $2.00,39,2.0796997618732527,0.645125717266834,0.002643247249445313,0.7725508958409455,3.38684862790556,0.2192828116811706,0.198182347132013,20.294871794871792,0.6-86.7%
AIME,Frontier,≤ $2.00,5,5.5197694110163305,2.0428123733620427,0.07365844456150761,-0.9813712789786786,12.020910101011339,0.7087673573475135,0.6116898097966847,42.480000000000004,1.9-86.7%
AIME,All,≤ $5.00,103,2.372200331674677,0.34783496223221716,6.810831898462766e-10,1.6821893332071969,3.0622113301421567,0.3153055888617139,0.30852643627618626,25.181650485436897,0.6-87.2%
AIME,Pareto,≤ $5.00,41,2.34611133593942,0.6466167128401681,0.0008171792947673229,1.0382055821335945,3.6540170897452455,0.25236468676761326,0.23319455053088545,23.21951219512195,0.6-87.2%
AIME,Frontier,≤ $5.00,5,2.19971686678702,0.6148277798811875,0.037345236544359395,0.2430604703180086,4.1563732632560315,0.8101324744365095,0.7468432992486793,65.25999999999999,32.2-87.2%
AIME,All,≤ $10.00,106,2.494346904405557,0.34500828483136736,8.443978849470568e-11,1.8101825286581237,3.17851128015299,0.33448629226516047,0.32808712199847934,26.48405660377359,0.6-91.4%
AIME,Pareto,≤ $10.00,42,2.586252676312573,0.6349564889622243,0.00021320845973127334,1.3029577425557446,3.8695476100694015,0.2931649566774076,0.27549408059434277,24.842857142857138,0.6-91.4%
AIME,Frontier,≤ $10.00,9,3.668826217414899,0.7784904878792333,0.0021758899289014977,1.8279887301413655,5.509663704688433,0.7603556658115896,0.7261207609275311,52.099999999999994,1.8-91.4%
AIME,All,≤ $20.00,108,2.529157766447049,0.3445961305237797,4.5575987428492226e-11,1.8459624216746415,3.2123531112194565,0.3369530879698248,0.33069792842237034,27.145462962962966,0.6-91.4%
AIME,Pareto,≤ $20.00,42,2.586252676312573,0.6349564889622243,0.00021320845973127334,1.3029577425557446,3.8695476100694015,0.2931649566774076,0.27549408059434277,24.842857142857138,0.6-91.4%
AIME,Frontier,≤ $20.00,8,3.606722891439513,0.7843548229268082,0.003698500646431846,1.687475779717192,5.5259700031618335,0.7789619325096241,0.7421222545945614,53.112500000000004,2.5-91.4%
AIME,All,≤ $50.00,109,2.552639897453861,0.3441777564605882,2.988209679699594e-11,1.8703476366801413,3.234932158227581,0.33953241236155285,0.33335981808455795,27.52853211009175,0.6-91.4%
AIME,Pareto,≤ $50.00,42,2.586252676312573,0.6349564889622243,0.00021320845973127334,1.3029577425557446,3.8695476100694015,0.2931649566774076,0.27549408059434277,24.842857142857138,0.6-91.4%
AIME,Frontier,≤ $50.00,8,3.606722891439513,0.7843548229268082,0.003698500646431846,1.687475779717192,5.5259700031618335,0.7789619325096241,0.7421222545945614,53.112500000000004,2.5-91.4%
